id,title,link,year,duration,rating_mpa,rating_imdb,vote,budget,gross_world_wide,gross_us_canada,gross_opening_weekend,director,writer,star,genre,country_origin,filming_location,production_company,language,win,nomination,oscar
tt0322816,Thoongathey Tambi Thoongathey,https://www.imdb.com/title/tt0322816,1983,2h 17m,,6.5,147,,3536000,,,SP Muthuraman,,"Kamal Haasan, Radha, Goundamani",Drama,India,,AVM Productions,Tamil,0,0,0
tt0442291,Kirot,https://www.imdb.com/title/tt0442291,1983,,,4,13,,,,,Arsenio Bautista,Mauro Gia Samonte,"Stella Strada, Dennis Roldan, Edgar Mande","Drama, Romance",Philippines,"JalaJala, Rizal, Philippines",Seiko Films,"Filipino, English, Tagalog",0,0,0
tt0087032,Cannonball Run II,https://www.imdb.com/title/tt0087032,1984,1h 48m,PG,5.1,18000,20000000,28078073,28078073,8323948,"Hal Needham, Ralph Bakshi","Brock Yates, Hal Needham, Albert S Ruddy","Burt Reynolds, Dom DeLuise, Dean Martin","Car Action, Road Trip, Action, Comedy","Hong Kong, United States","Bisbee, Arizona, USA","Golden Harvest Company, Warner Bros, Arcafin BV",English,0,8,0
tt0088323,The NeverEnding Story,https://www.imdb.com/title/tt0088323,1984,1h 42m,PG,7.3,162000,27000000,20288595,20192381,4325823,Wolfgang Petersen,"Wolfgang Petersen, Herman Weigel, Michael Ende","Noah Hathaway, Barret Oliver, Tami Stronach","Adventure Epic, Fantasy Epic, Quest, Sword  Sorcery, Adventure, Drama, Family, Fantasy","West Germany, United States","Blood Alley, Gastown, Vancouver, British Columbia, Canada","Constantin Film, Bavaria Studios, Westdeutscher Rundfunk WDR",English,0,9,0
tt0086999,Breakin' 2: Electric Boogaloo,https://www.imdb.com/title/tt0086999,1984,1h 34m,PG,5.2,5000,,15101131,15101131,2921030,Sam Firstenberg,"Charles Parker, Allen DeBevoise, Jan Ventura","Lucinda Dickey, Adolfo Quinones, Michael Chambers","Pop Musical, Comedy, Drama, Musical",United States,"Hollenbeck Park  415 S St Louis Street, Boyle Heights, Los Angeles, California, USA","TriStar Pictures, The Cannon Group","English, Spanish",0,0,0
tt0086969,Birdy,https://www.imdb.com/title/tt0086969,1984,2h,R,7.2,26000,12000000,1455096,1455045,13720,Alan Parker,"William Wharton, Sandy Kroopf, Jack Behr","Matthew Modine, Nicolas Cage, John Harkins","Drama, War",United States,"Wildwood, New Jersey, USA","AM Films, Delphi III Productions, TriStar Pictures",English,0,0,0
tt0086070,Petit Con,https://www.imdb.com/title/tt0086070,1984,1h 30m,R,6,136,,127426,127426,,Grard Lauzier,Grard Lauzier,"Guy Marchand, Caroline Cellier, Bernard Brieux",Comedy,France,"Paris Studios Cinma, Billancourt, HautsdeSeine, France","Gaumont International, Production Marcel Dassault",French,0,0,0
tt0088407,Winter Flight,https://www.imdb.com/title/tt0088407,1984,1h 29m,,7.3,93,,2729,2729,,Roy Battersby,Alan Janes,"Reece Dinsdale, Nicola Cowper, Gary Olsen","Drama, Romance",United Kingdom,UK,"Enigma Productions, Goldcrest Films International",English,0,0,0
tt0087373,The Dog Who Stopped the War,https://www.imdb.com/title/tt0087373,1984,1h 31m,G,7.5,22000,1340000,,,,Andr Melanon,"Roger Cantin, Danyle Patenaude, Andr Melanon","Cdric Jourde, MariePierre A DAmour, Julien Elie","Comedy, Drama, Family",Canada,"Baie SaintPaul, Qubec, Canada","Les Productions La Fte Inc, Socit Gnrale du Cinma du Qubec, Tlfilm Canada",French,0,5,0
tt0087481,Double Trouble,https://www.imdb.com/title/tt0087481,1984,1h 39m,TV-PG,7.1,12000,,,,,Enzo Barboni,Marco Barboni,"Terence Hill, Bud Spencer, April Clough","Buddy Comedy, Action, Comedy","Italy, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","El Pico SA, Renato Arago Produes Cinematogrficas, TransCinema TV","Italian, English, Portuguese",0,0,0
